what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1343685630128
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1343685630294
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1343685630711
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1343685630870
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1343685631012
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1343685631161
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1343685631359
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1343685631530
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1343685631705
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1343685631844
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1343685632022
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1343685632209
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1343685635432
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343685639696
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343685641790
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343685641912
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343685645293
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343685651896
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343685656909
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343685666672
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343685668339
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.cleanAction",1343685668412
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343685672137
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343685673065
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343685673215
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343685675394
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343685684529
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343685758252
activated,view,com.android.ide.eclipse.ddms,18.0.0.v201203301601-306762,"com.android.ide.eclipse.ddms.views.LogCatView",1343685776015
activated,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1343685840103
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343685881624
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343685929002
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343685935576
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343685938468
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.properties",1343685938527
opened,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1343685940526
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1343685940578
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343685945222
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343685982153
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.properties",1343685982197
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343685995953
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343686306313
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343686308871
stopped,bundle,org.eclipse.mylyn.ide.ant,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ant",1343686309598
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1343686309602
stopped,bundle,org.eclipse.ant.launching,1.0.1.v20101020_r362,"org.eclipse.ant.launching",1343686309607
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1343686309614
stopped,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1343686309616
stopped,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1343686309616
stopped,bundle,overlay.com.android.ide.eclipse.adt.overlay,18.0.0.v201203301601-306762,"overlay.com.android.ide.eclipse.adt.overlay",1343686309641
stopped,bundle,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.adt",1343686309642
stopped,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1343686309642
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20100513-0845,"org.eclipse.jdt.apt.ui",1343686309700
stopped,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1343686309700
stopped,bundle,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui",1343686309701
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1343686309701
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.304.v201101251958,"org.eclipse.wst.xsd.ui",1343686309706
stopped,bundle,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui",1343686309706
stopped,bundle,org.eclipse.wst.common.ui,1.1.500.v200911190730,"org.eclipse.wst.common.ui",1343686309727
stopped,bundle,org.eclipse.wst.sse.ui,1.2.3.v201102102045,"org.eclipse.wst.sse.ui",1343686309727
stopped,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1343686309727
stopped,bundle,org.eclipse.mylyn.commons.team,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.team",1343686309746
stopped,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1343686309748
